player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Aaron Wiggins,OKC,88,11.7,3.9,1.7,0.8,0.3,0.9,0.469,0.366,0.58,9.1,6.9,78.4,118,138,107
Jabari Smith Jr.,HOU,64,11.7,6.7,1.0,0.4,0.7,1.1,0.445,0.356,0.574,9.1,3.8,67.2,118,138,118
Corey Kispert,WAS,60,11.7,3.0,1.7,0.4,0.2,1.1,0.44,0.333,0.567,7.9,-4.6,23.3,118,168,135
Brandin Podziemski,GSW,76,11.6,5.1,3.4,1.1,0.2,1.2,0.397,0.332,0.503,9.9,3.3,56.6,122,118,244
Nikola Jović,MIA,45,11.6,4.2,3.0,0.9,0.3,1.4,0.443,0.368,0.591,9.4,-1.3,42.2,122,134,83
Tari Eason,HOU,64,11.5,6.1,1.4,1.6,0.9,1.2,0.476,0.314,0.562,10.4,1.8,60.9,124,110,152
Toumani Camara,POR,77,11.5,5.8,2.3,1.5,0.6,1.4,0.46,0.352,0.57,10.1,-1.3,42.9,124,114,129
Nick Smith Jr.,CHO,50,11.5,2.4,2.8,0.3,0.1,1.6,0.385,0.323,0.49,6.5,-7.9,24.0,124,220,251
Rudy Gobert,MIN,86,11.4,10.6,1.6,0.7,1.4,1.2,0.654,0.0,0.665,13.2,4.5,59.3,127,72,9
Jeremy Sochan,SAS,54,11.4,6.5,2.4,0.8,0.5,1.6,0.525,0.24,0.573,10.1,-1.6,38.9,127,114,122
Spencer Dinwiddie,DAL,77,11.3,2.7,4.5,0.9,0.2,1.3,0.42,0.355,0.559,9.5,-2.8,45.5,129,128,159
Terry Rozier,MIA,60,11.3,3.9,2.8,0.6,0.2,1.3,0.394,0.278,0.495,7.9,-1.9,43.3,129,168,248
Buddy Hield,GSW,95,11.2,3.2,1.6,0.9,0.3,1.1,0.389,0.336,0.523,7.8,1.6,56.8,131,171,224
Brice Sensabaugh,UTA,68,11.2,3.0,1.6,0.7,0.1,1.6,0.44,0.375,0.586,7.5,-4.1,20.6,131,181,94
Tim Hardaway Jr.,DET,82,11.2,2.4,1.6,0.5,0.1,0.7,0.391,0.342,0.541,7.4,0.5,52.4,131,187,196
Keon Johnson,BRK,73,11.2,4.0,2.4,1.1,0.4,1.5,0.378,0.292,0.484,7.3,-5.7,28.8,131,193,254
Jaden Hardy,DAL,41,11.2,2.0,1.9,0.7,0.1,1.7,0.419,0.359,0.531,6.5,-0.8,43.9,131,220,212
Walker Kessler,UTA,58,11.1,12.2,1.7,0.6,2.4,1.5,0.694,0.042,0.68,14.0,-5.7,24.1,136,61,6
Guerschon Yabusele,PHI,69,11.1,5.7,2.1,0.8,0.3,1.3,0.466,0.309,0.579,9.7,-1.6,33.3,136,125,109
Donte DiVincenzo,MIN,76,11.1,3.6,3.6,1.2,0.3,1.7,0.412,0.375,0.568,8.7,1.4,59.2,136,147,131
Cole Anthony,ORL,57,11.1,3.5,3.3,0.7,0.6,1.7,0.407,0.338,0.519,8.0,0.8,50.9,136,166,229
Dalano Banton,POR,47,11.0,2.6,3.0,0.8,0.7,1.7,0.378,0.307,0.492,7.7,-0.6,40.4,140,173,250
Jrue Holiday,BOS,70,10.9,4.3,3.9,1.0,0.4,1.3,0.446,0.318,0.568,9.9,5.0,72.9,141,118,131
Jordan Hawkins,NOP,55,10.9,2.9,1.2,0.5,0.4,1.1,0.345,0.313,0.473,6.6,-5.7,32.7,141,216,260
Andrew Nembhard,IND,87,10.8,3.3,5.0,1.3,0.2,1.8,0.463,0.322,0.563,9.5,3.0,66.7,143,128,148
Scotty Pippen Jr.,MEM,80,10.8,3.5,4.6,1.3,0.3,1.8,0.455,0.32,0.56,9.5,-0.2,58.8,143,128,157
Duncan Robinson,MIA,79,10.7,2.2,2.3,0.5,0.1,1.2,0.42,0.387,0.573,7.1,0.4,39.2,145,198,122
